codigo,data,numero,tipo,cod_sessao,fase_sessao,num_orador,nome_orador,partido_orador,uf_orador,hora_inicio_discurso,indexacao,num_quarto,num_insercao,text,doc_id
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Benedita da Silva,PT,RJ,30/04/2025 09:20:00,"Deputada federal,Transgênero,Visto consular,Consulado,Estados Unidos,Sexo masculino,Supremo Tribunal Federal (STF),Ação Direta de Inconstitucionalidade,Direitos humanos,retificação,Nome,Gênero,Princípio da dignidade da pessoa humana,Identidade de gênero,Governo federal,Bancada Feminina",4327688,1,"A Deputada repudiou a emissão de visto com marcação de gênero masculino à Deputada Erika Hilton pelo Consulado dos Estados Unidos, classificando o ato como discriminatório e contrário ao ordenamento jurídico brasileiro. Ressaltou que a decisão do Supremo Tribunal Federal (STF) na Ação Direta de Inconstitucionalidade (ADI) nº 4.275 garante o direito à retificação de nome e gênero com base na dignidade da pessoa humana. Destacou que Brasil e Estados Unidos são signatários de acordos internacionais que asseguram a proteção da identidade de gênero e afirmou que o episódio configura grave violação diplomática. Defendeu o respeito à cidadania das pessoas trans e à diversidade nas instituições, reafirmando o compromisso do Governo com os direitos humanos. Por fim, enfatizou que a bancada feminina é diversa e unida pela garantia da dignidade e da identidade de todas as Parlamentares.",BC_4327688_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Luiz Lima,NOVO,RJ,30/04/2025 09:28:00,"Governo federal,Presidente da República,Fraude,Instituto Nacional do Seguro Social (INSS),Sindicato,Desconto,Aposentadoria,Pensão,Contribuição sindical,Ministro de Estado,Ministério da Previdência Social,repasse,Lei Aldir Blanc (2020),Aposentado",4327698,1,"O Deputado criticou o Governo Lula por abandonar os mais pobres e repudiou o escândalo das fraudes no Instituto Nacional do Seguro Social (INSS), que causaram prejuízos superiores a R$ 6 bilhões desde 2016. Ademais, atribuiu o avanço das fraudes ao fim do imposto sindical obrigatório e ao crescimento descontrolado de sindicatos que descontam valores sem autorização. Além disso, condenou a atuação do Ministro da Previdência Social, Carlos Lupi, cobrou a responsabilização de gestores do INSS e reprovou o repasse direto de recursos da Lei Aldir Blanc, sem necessidade de criação de fundos municipais e estaduais, permitindo o uso arbitrário de recursos públicos. Ao final, censurou o Governo Lula por prejudicar o trabalhador e o Ministro Carlos Lupi por não saber responder como os recursos fraudados serão devolvidos aos aposentados lesados.",BC_4327698_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Otoni de Paula,MDB,RJ,30/04/2025 09:32:00,"Presidente da República,Corrupção,Família,Irmão,Recursos públicos,Desconto,Sindicato,Aposentado,Aposentadoria
Poder Judiciário,Distrito Federal (Brasil),Perseguição política,Deputado federal,Multa,Ministério Público Federal (MPF),Liberdade de expressão,Atuação parlamentar,Congresso Nacional,Perda de mandato parlamentar,cassação,Imunidade parlamentar,Ditadura",4327701,1,"O Deputado acusou a família do Presidente Lula de se beneficiar reiteradamente de recursos públicos. Apontou reportagem sobre o aumento expressivo na arrecadação do Sindnapi, presidido por Frei Chico, irmão de Lula, que teria recebido R$ 90,5 milhões em 2023 por meio de descontos em aposentadorias. Além disso, denunciou perseguição judicial ao Deputado Nikolas Ferreira, condenado a pagar multa por ato realizado em defesa das mulheres. Ademais, reprovou a atuação do Ministério Público e da Justiça do Distrito Federal, denunciando restrições à liberdade de expressão parlamentar e criticou o Congresso pela cassação do ex-Deputado Daniel Silveira, que enfraqueceu o instituto da imunidade parlamentar. Ao final, expressou solidariedade ao Deputado Nikolas Ferreira e conclamou resistência ao que chamou de “ditadura da Justiça”.",BC_4327701_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Sargento Fahur,PSD,PR,30/04/2025 09:40:00,"Criminoso,Organização criminosa,manipulação,influência,Decisão judicial,Ministro do Supremo Tribunal Federal,Advogado
Fraude,Previdência social,Aposentadoria,punição,Irmão,Presidente da República,Demissão,Ministro de Estado,Ministério da Previdência Social,Audiência pública,Câmara dos Deputados",4327704,1,"O Deputado alertou para a tentativa de um líder da organização criminosa Primeiro Comando da Capital (PCC), Rodrigo Felício, de influenciar as decisões do Ministro do Supremo Tribunal Federal (STF), Nunes Marques, por meio de contatos com pessoas próximas ao magistrado. Ademais, ressaltou que o criminoso, alvo de decisões desfavoráveis, buscava a redistribuição dos processos, o que estaria sendo investigado pelo Grupo de Atuação Especial de Combate ao Crime Organizado (GAECO). Além disso, defendeu sua transferência imediata para um presídio federal e parabenizou o Ministro Nunes Marques pelas decisões contra o crime organizado. Adicionalmente, criticou possíveis práticas criminosas de advogados e denunciou tentativas sistemáticas de manipulação do Poder Judiciário. Cobrou ainda a apuração sobre desvios de recursos de aposentados e afirmou esperar punição a todos os envolvidos, inclusive se for comprovada participação de Frei Chico, irmão do Presidente Lula. Por fim, defendeu a demissão do Ministro da Previdência Social, Carlos Lupi, criticando a falta de esclarecimentos durante a audiência pública realizada na Câmara dos Deputados.",BC_4327704_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Cabo Gilberto Silva,PL,PB,30/04/2025 09:44:00,"Ministro de Estado,Ministério da Previdência Social,Fraude,Instituto Nacional do Seguro Social (INSS),Pensionista,Aposentado,Governo federal,Presidente da República
Governo federal,Rede social,Recursos públicos,Comunicação,manipulação,Opinião pública
Voto,Eleitor,Paraíba,Presidente da República
Poder Judiciário,Multa,Deputado federal,Discurso parlamentar,Abuso de autoridade,Mesa Diretora da Câmara dos Deputados",4327707,1,"O Deputado criticou o Ministro da Previdência Social, Carlos Lupi, por não prestar esclarecimentos sobre o desvio de R$ 6,3 bilhões de aposentados e pensionistas e reprovou o Governo Lula por não demiti-lo. Ademais, condenou os elevados gastos públicos do Governo com comunicação e suas tentativas de silenciar as redes sociais e manipular a opinião pública. Adicionalmente, lamentou os votos dos paraibanos no Presidente Lula nas últimas eleições. Por fim, denunciou como arbitrária a multa de R$ 200 mil imposta ao Deputado Nikolas Ferreira por discurso proferido na tribuna da Câmara, anunciou que oficiaria a Mesa Diretora sobre o caso e cobrou que o Plenário se posicionasse diante do que classificou como abuso de autoridade do Poder Judiciário.",BC_4327707_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Helder Salomão,PT,ES,30/04/2025 09:48:00,"Governo federal,Presidente da República,investigação,Fraude,Instituto Nacional do Seguro Social (INSS),Aposentado,Controladoria-Geral da União,Polícia federal,Governo,Ex-presidente da República,Política salarial,Salário mínimo
Homenagem,Dia do Trabalho,Jornada de trabalho,Trabalhador,Salário",4327710,1,"O Deputado defendeu o papel do Governo Lula na investigação e no desmantelamento de esquema fraudulento que desviava recursos de aposentados, destacando que a Controladoria-Geral da União encaminhou o caso à Polícia Federal em 2023, o que resultou na suspensão dos descontos indevidos. Ademais, criticou o Governo anterior por não investigar o esquema e por interferir em apurações que envolviam o ex-Presidente e sua família, inclusive com a substituição de dezoito delegados da Polícia Federal. Além disso, ressaltou o compromisso do Governo Lula com aposentados e com a valorização do salário mínimo. Ao final, celebrou o 1º de Maio como data de luta dos trabalhadores e defendeu o fim da escala 6 por 1 com a redução da jornada de trabalho sem redução de salários.",BC_4327710_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Ricardo Maia,MDB,BA,30/04/2025 09:56:00,"Governo estadual,Partido dos Trabalhadores (PT),Bahia,Governador,Ex-governador,Município,Seca,Investimento,Abastecimento de água,Macururé (BA),Deputado federal,Atuação parlamentar,Emenda,Recursos orçamentários,Irrigação,Prefeito,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba (Codevasf),Semiárido
Comissão Parlamentar de Inquérito (CPI),Fraude,Instituto Nacional do Seguro Social (INSS),Desconto,Aposentado,punição",4327714,1,"O Deputado elogiou as ações dos Governos do Partido dos Trabalhadores (PT) na Bahia, sob a liderança de Jerônimo Rodrigues e Rui Costa, que viabilizaram a entrega de equipamentos a Municípios afetados pela seca, com destaque para o investimento de R$ 60 milhões em sistema de abastecimento de água em Macururé (BA). Ademais, informou que destinou emendas para obras hídricas em diversas cidades do Sertão baiano em parceria com Prefeitos e a Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba (Codevasf). Além disso, criticou o desvio de mais de R$ 6 bilhões de aposentados e defendeu a criação de uma Comissão Parlamentar de Inquérito (CPI) para investigar o escândalo, destacando que os responsáveis devem ser punidos. Por fim, reafirmou seu compromisso com a melhoria das condições de vida no semiárido baiano, por meio do diálogo com lideranças locais e da destinação de recursos no orçamento de 2025.",BC_4327714_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Rogério Correia,PT,MG,30/04/2025 10:04:00,"Imunidade parlamentar,Homofobia,Transfobia,Crime,Condenação,Deputado federal,anistia
anistia,Ato antidemocrático,Ex-presidente da República,Partido Liberal (PL),Comissão Parlamentar Mista de Inquérito (CPMI),Golpe de Estado (crime),Extrema direita
Deputado federal,Atuação parlamentar,Aposentado,Reforma Previdenciária (2019),Lobista,Ex-presidente da República,Partido Liberal (PL),Fraude,Desconto,Instituto Nacional do Seguro Social (INSS)
Dia do Trabalho,Manifestação pública,Trabalhador,Política social,Governo federal,Presidente da República
Produto Interno Bruto (PIB),Brasil,Crescimento econômico,Estados Unidos",4327717,1,"O Deputado condenou o uso da imunidade parlamentar como escudo para crimes como homofobia e transfobia, citando as três condenações do Deputado Nikolas Ferreira e criticando seu pedido de anistia. Ademais, repudiou a proposta de anistia a envolvidos nos atos antidemocráticos de 8 de janeiro de 2023, defendendo que se trata de tentativa de beneficiar o ex-Presidente Jair Bolsonaro e seus aliados. Além disso, ressaltou sua participação na Comissão Parlamentar Mista de Inquérito (CPMI) que investigou os ataques à democracia e alertou para os riscos reais de um golpe de Estado. Adicionalmente, reprovou Parlamentares que hoje dizem defender os aposentados, mas votaram a reforma da previdência do Governo Bolsonaro. Relatou ainda o envolvimento de lobistas ligados ao ex-Presidente no escândalo do Instituto Nacional do Seguro Social (INSS). Enalteceu também a marcha e as reivindicações das classes trabalhadoras no Dia do Trabalhador e elogiou as políticas sociais do Governo Lula. Por fim, comparou o crescimento do Produto Interno Bruto (PIB) brasileiro à queda nos EUA e rejeitou o retorno da extrema Direita ao poder.",BC_4327717_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Helder Salomão,PT,ES,30/04/2025 10:12:00,"Manifestação pública,Cidadania,Dia do Trabalho,Viana (ES),Trabalho,Crise climática",4327721,1,"O Deputado anunciou a realização da 26ª Marcha pela Vida e Cidadania, marcada para o dia 1º de maio, no Município de Viana (ES), com o tema “O trabalho e os impactos da crise climática”. Destacou que o evento é promovido por diversas organizações, como a Pastoral Operária, a Central Única dos Trabalhadores (CUT) do Espírito Santo, sindicatos, entre outras entidades da sociedade civil. Ao final, convidou a população a participar do ato em defesa da vida e da cidadania.",BC_4327721_1_1
64.2025,30/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Coronel Assis,UNIÃO,MT,30/04/2025 10:12:00,"Audiência pública (processo legislativo),Ministro de Estado da Justiça e Segurança Pública,Proposta de Emenda à Constituição,Segurança pública,Crime organizado,Organização criminosa,Ministro do Supremo Tribunal Federal,Violência,México,Estado (ente federado),Criminalidade,Política de segurança pública
Uniforme esportivo,Seleção Brasileira de Futebol,Vermelho,Cores,Bandeira Nacional
Apoiamento,Comissão Parlamentar de Inquérito (CPI),Fraude,Instituto Nacional do Seguro Social (INSS),Sindicato,Ministro de Estado,Previdência social,Exoneração,Governo federal",4327722,1,"O Deputado criticou a audiência pública com o Ministro da Justiça e Segurança Pública, Ricardo Lewandowski, e a Proposta de Emenda à Constituição (PEC) nº 18, de 2025, que trata das competências dos entes federados sobre segurança pública, por não apresentar medidas concretas de enfrentamento ao crime organizado. Ademais, argumentou favoravelmente à criação de um ambiente jurídico diferenciado para combater facções criminosas e alertou para a tentativa de aliciamento de um Ministro do Supremo Tribunal Federal por integrante do Primeiro Comando da Capital (PCC). Além disso, denunciou o aumento da violência nos Estados, apontando similaridades da violência criminal entre o Brasil e o México. Adicionalmente, condenou a proposta de uma camisa vermelha para a Seleção Brasileira, defendendo as cores nacionais. Anunciou ainda a obtenção de assinaturas para a instalação da Comissão Parlamentar de Inquérito (CPI) dos sindicatos que fraudaram o INSS e cobrou a exoneração do Ministro da Previdência Social, Carlos Lupi, em decorrência de sua omissão diante das irregularidades. Por fim, repudiou a gestão desastrosa do Governo Lula.",BC_4327722_1_1
