id,codigo_parlamentar,nome,partido,uf,tipo_sessao,tipo_uso_palavra,data,sumario,keywords,transcricao,nome_civil,sexo,data_nascimento,uf_nascimento,municipio_nascimento
513287,5976,Eduardo Girão,NOVO,CE,Sessão Deliberativa Ordinária,Discurso,2025-04-30,"Pedido de apoio aos pares para a instalação de CPIs destinadas a apurar supostas irregularidades na Confederação Brasileira de Futebol (CBF), indícios de desvios no INSS e denúncias sobre a possível comercialização de decisões judiciais no STJ.","NECESSIDADE, INSTALAÇÃO, COMISSÃO PARLAMENTAR DE INQUERITO (CPI), INVESTIGAÇÃO, VENDA, SENTENÇA JUDICIAL, FUNCIONARIO PUBLICO, GABINETE, MINISTRO, SUPERIOR TRIBUNAL DE JUSTIÇA (STJ).",,Luis Eduardo Grangeiro Girão,Masculino,1972-09-25,CE,Fortaleza
513284,1173,Wellington Fagundes,PL,MT,Sessão Deliberativa Ordinária,Pela Liderança,2025-04-30,"Registro de eventos culturais e econômicos em municípios do Estado de Mato Grosso. Defesa da PEC nº 81/2015, da qual S. Exa. é o primeiro signatário, para incluir a proteção ao idoso entre as competências legislativas concorrentes da União, dos Estados e do Distrito Federal e apelo por políticas públicas regionais voltadas a essa população.","REGISTRO, RECEBIMENTO, CONVITE, PARTICIPAÇÃO, EXPOSIÇÃO, FEIRA, ENCONTRO, EMPRESARIO, MUNICIPIO, PORTO ALEGRE DO NORTE (MT), INCENTIVO, DESENVOLVIMENTO ECONOMICO, DESENVOLVIMENTO SOCIAL, REGIÃO, ARAGUAIA, REGIÃO CENTRO OESTE.
DEFESA, APROVAÇÃO, PROPOSTA DE EMENDA A CONSTITUIÇÃO (PEC), AUTORIA, ORADOR, INCLUSÃO, COMPETENCIA LEGISLATIVA, COMPETENCIA CONCORRENTE, UNIÃO, ESTADOS, MUNICIPIOS, MATERIA CONSTITUCIONAL, PROTEÇÃO, PESSOA IDOSA.",,Wellington Antonio Fagundes,Masculino,1957-06-01,MT,Rondonópolis
513283,6304,Margareth Buzetti,PSD,MT,Sessão Deliberativa Ordinária,Discurso,2025-04-30,"Defesa do Projeto de Lei nº 854/2025, de autoria de S. Exa., que dispõe sobre a área de Reserva Legal para a pequena propriedade ou posse rural familiar e estabelece medidas de regularização ambiental, com o objetivo de garantir viabilidade produtiva e justiça ambiental.","DEFESA, APROVAÇÃO, PROJETO DE LEI, AUTORIA, ORADOR, DISPENSA, RESERVA LEGAL, CONDICIONAMENTO, QUANTIDADE, MODULO FISCAL, FACILITAÇÃO, REGULARIZAÇÃO, LICENCIAMENTO AMBIENTAL, PEQUENA PROPRIEDADE, ZONA RURAL, LIMITAÇÃO, FAVORECIMENTO, PEQUENO PRODUTOR RURAL.",,Margareth Gettert Busetti,Feminino,1959-10-31,SC,Concórdia
513280,4560,Sérgio Petecão,PSD,AC,Sessão Deliberativa Ordinária,Discurso,2025-04-30,"Considerações sobre denúncias de irregularidades no Banco da Amazônia, como contratos de consultorias milionárias e financiamento ao Banco Master. Defesa da convocação do Presidente da instituição à CAE para prestar esclarecimentos.","NECESSIDADE, FISCALIZAÇÃO, BANCO CENTRAL DO BRASIL (BACEN), TRIBUNAL DE CONTAS DA UNIÃO (TCU), POLICIA FEDERAL, BANCO DA AMAZONIA S/A (BASA), MOTIVO, CONCESSÃO, FINANCIAMENTO, BANCO PRIVADO, CONTRATAÇÃO, CONSULTORIA, AUSENCIA, LICITAÇÃO.",,Sérgio de Oliveira Cunha,Masculino,1960-04-20,AC,Rio Branco
513279,4531,Jayme Campos,UNIÃO,MT,Sessão Deliberativa Ordinária,Pela Liderança,2025-04-30,Críticas à decisão do Ministro do STF Flávio Dino que autoriza desapropriação de imóveis rurais devastados por incêndios e desmatamentos ilegais.,"PREOCUPAÇÃO, DECISÃO, SUPREMO TRIBUNAL FEDERAL (STF), FLAVIO DINO, MINISTRO, IMOVEL RURAL, DESAPROPRIAÇÃO, MOTIVO, INCENDIO, CRIME, ILEGALIDADE, DESMATAMENTO, CONSEQUENCIA, INSEGURANÇA JURIDICA, INOBSERVANCIA, DEVIDO PROCESSO LEGAL, CAMPO, ZONA RURAL, PREJUIZO, PRODUTOR RURAL.",,Jayme Veríssimo de Campos,Masculino,1951-09-13,NA,NA
513278,5906,Dra. Eudócia,PL,AL,Sessão Deliberativa Ordinária,Discurso,2025-04-30,"Comentários sobre a sessão de debates temáticos, realizada na presente data, acerca do avanço das pesquisas relacionadas à vacina contra o câncer. Defesa do Projeto de Lei nº 126/2025, de autoria de S. Exa., que dispõe sobre normas para o desenvolvimento, pesquisa, produção, distribuição e acesso de vacinas contra o câncer, com foco em inovação científica, acesso universal e equidade no SUS.","DEFESA, APROVAÇÃO, PROJETO DE LEI, AUTORIA, ORADOR, CRIAÇÃO, MARCO REGULATORIO, VACINA, MEDICAMENTO DE ALTO CUSTO, COMBATE, CANCER, NORMAS, DESENVOLVIMENTO CIENTIFICO, PESQUISA CIENTIFICA, PRODUÇÃO, DISTRIBUIÇÃO, MEDICAMENTOS, IMUNIDADE, ACESSO, VACINAÇÃO.",,Eudocia Maria Holanda de Araujo Caldas,Feminino,1964-08-28,AL,Ibateguara
513277,4770,Izalci Lucas,PL,DF,Sessão Deliberativa Ordinária,Discurso,2025-04-30,"Esclarecimentos sobre a possível compra do Banco Master pelo Banco de Brasília (BRB) e apoio ao Requerimento da CAE nº. 30/2025, de autoria da Senadora Leila Barros, que solicita a realização de audiência pública sobre a fiscalização dessa aquisição.","INFORMAÇÃO, ORADOR, RETIRADA, ASSINATURA, FORMAÇÃO, COMISSÃO PARLAMENTAR MISTA DE INQUERITO (CPMI), INVESTIGAÇÃO, AQUISIÇÃO, BANCO PRIVADO, BANCO DE BRASILIA (BRB).",,Izalci Lucas Ferreira,Masculino,1956-04-07,MG,Araújos
513276,631,Magno Malta,PL,ES,Sessão Deliberativa Ordinária,Pela ordem,2025-04-30,"Pela ordem sobre o Projeto de Lei (PL) n° 363, de 2025, que ""Altera a Lei nº 8.685, de 20 de julho de 1993, e a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para prorrogar benefícios fiscais nelas previstos, a Lei nº 13.594, de 5 de janeiro de 2018, a fim de prorrogar o prazo para utilização do Regime Especial de Tributação para Desenvolvimento da Atividade de Exibição Cinematográfica (Recine), e a Lei nº 14.399, de 8 de julho de 2022; e revoga a Medida Provisória nº 1.280, de 23 de dezembro de 2024.""","PROJETO DE LEI, ALTERAÇÃO, MEDIDA PROVISORIA (MPV), PRORROGAÇÃO, PRAZO, BENEFICIO FISCAL, DEDUÇÃO, IMPOSTO DE RENDA, QUANTITATIVO, APLICAÇÃO, AQUISIÇÃO, COTA, FUNDO NACIONAL, CINEMA, REVOGAÇÃO, LEI FEDERAL, DESENVOLVIMENTO, EXIBIÇÃO, PRODUÇÃO CINEMATOGRAFICA, SUSPENSÃO, CONTRIBUIÇÃO SOCIAL, PROGRAMA DE INTEGRAÇÃO SOCIAL E PROGRAMA DE FORMAÇÃO DO PATRIMONIO DO SERVIDOR PUBLICO (PIS-PASEP), CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL (COFINS), IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS (IPI), IMPOSTO DE IMPORTAÇÃO, REGIME ESPECIAL, TRIBUTAÇÃO, Política Nacional Aldir Blanc de Fomento à Cultura, IMPLEMENTAÇÃO, PRINCIPIO JURIDICO, PLANO DE APLICAÇÃO, APLICAÇÃO DE RECURSOS, NORMAS, REPASSE, UNIÃO FEDERAL, ENTE FEDERADO, INVESTIMENTO, AMBITO, MERCADO DE CAPITAIS, OBRAS, AUDIOVISUAL, BRASIL, PROJETO, APROVAÇÃO, AGENCIA NACIONAL DE CINEMA (ANCINE).",,Magno Pereira Malta,Masculino,1957-10-16,BA,Macarani
513275,6338,Teresa Leitão,PT,PE,Sessão Deliberativa Ordinária,Pela ordem,2025-04-30,"Voto de aplauso à Sociedade Musical 1º Maio, da cidade de Itapissuma, estado de Pernambuco, por ocasião da celebração dos seus 140 anos de fundação.","SOLICITAÇÃO, INSERÇÃO, ATA, VOTO DE APLAUSO, COMEMORAÇÃO, ANIVERSARIO DE FUNDAÇÃO, SOCIEDADE, MUSICA, MUNICIPIO, ITAPISSUMA (PE), ESTADO DE PERNAMBUCO (PE).",,Maria Teresa Leitão de Melo,Feminino,1951-10-07,PE,Recife
513273,6335,Damares Alves,REPUBLICANOS,DF,Sessão Deliberativa Ordinária,Pela ordem,2025-04-30,"Pela ordem sobre o Projeto de Lei (PL) n° 363, de 2025, que ""Altera a Lei nº 8.685, de 20 de julho de 1993, e a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para prorrogar benefícios fiscais nelas previstos, a Lei nº 13.594, de 5 de janeiro de 2018, a fim de prorrogar o prazo para utilização do Regime Especial de Tributação para Desenvolvimento da Atividade de Exibição Cinematográfica (Recine), e a Lei nº 14.399, de 8 de julho de 2022; e revoga a Medida Provisória nº 1.280, de 23 de dezembro de 2024"".","PROJETO DE LEI, ALTERAÇÃO, MEDIDA PROVISORIA (MPV), PRORROGAÇÃO, PRAZO, BENEFICIO FISCAL, DEDUÇÃO, IMPOSTO DE RENDA, QUANTITATIVO, APLICAÇÃO, AQUISIÇÃO, COTA, FUNDO NACIONAL, CINEMA, LEI FEDERAL, REGIME ESPECIAL, TRIBUTAÇÃO, DESENVOLVIMENTO, EXIBIÇÃO, PRODUÇÃO CINEMATOGRAFICA, Política Nacional Aldir Blanc de Fomento à Cultura, IMPLEMENTAÇÃO, PRINCIPIO JURIDICO, PLANO DE APLICAÇÃO, APLICAÇÃO DE RECURSOS, NORMAS, REPASSE, UNIÃO FEDERAL, ENTE FEDERADO, REVOGAÇÃO, SUSPENSÃO, CONTRIBUIÇÃO SOCIAL, PROGRAMA DE INTEGRAÇÃO SOCIAL E PROGRAMA DE FORMAÇÃO DO PATRIMONIO DO SERVIDOR PUBLICO (PIS-PASEP), CONTRIBUIÇÃO PARA FINANCIAMENTO DA SEGURIDADE SOCIAL (COFINS), IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS (IPI), IMPOSTO DE IMPORTAÇÃO, INVESTIMENTO, AMBITO, MERCADO DE CAPITAIS, OBRAS, AUDIOVISUAL, BRASIL, PROJETO, APROVAÇÃO, AGENCIA NACIONAL DE CINEMA (ANCINE).",,Damares Regina Alves,Feminino,1964-03-11,PR,Paranaguá
